id,feet,median
sg:51deb55edc834bc2bf5905e414a5a734,143993,30.5
sg:beca664b525745259063e6a6955720ad,15429,11.0
sg:bc876c51571e446f8194bb7ce78d5f2f,926,28.5
sg:1aaf73f0826f48df93771a1ba8d38819,54871,69.5
sg:95df13650efa4b759d24463d71f6f212,1463,11.0
sg:410f03da37704ef898dda35109e4dcdd,378701,53.0
sg:21d2a16cda8d4b3ea81ae994c313140b,13792,20.0
sg:f09db5576ebb489b83352b39d5f127ea,16121,73.5
sg:f38bf0862edc4e41bf8f080299beab62,35020,63.0
sg:49b1a34cf46c4a1593dbc90bc8d90c85,22983,20.0
sg:70f812335aa74bb29b77792bc8766e44,8510,28.0
sg:1253e9a1f4c945f98862c315c2e5ecc7,64659,11.0
sg:46cabcfb28db4ea0956f4a1108340477,17851,39.0
sg:60a56b0d34a74ae7838e0782eb98c04c,151327,28.0
sg:4c773996a45c4028a0be32de6655e697,26252,21.0
sg:9a635faebad64dabbfa7d45cb36b5936,15170,11.5
sg:82d5329d71f3404cb828739f203b7c88,152764,22.0
sg:869db977355b409286fe4fa3cbddd64c,175268,33.0
sg:b03ca1737d9646838633da220614fcf1,7695,61.0
sg:7f66e713b2c243a2b937c7f42c27f1a2,84229,24.0
sg:24e8a5eab28a49bfb79dfd7a72ce6f55,3372,20.0
sg:b94b0b9a63b84d659ef3c5930e763826,23432,11.0
sg:a70c5f58e6244d2fa18d8e17c99dac4b,2933,24.0
sg:edb034d4e53d4626b69a4a4649d1c15d,20732,60.0
sg:f16092c4e3cc4809b0d8a924e19a8d89,158903,23.0
sg:46fe0c6b2c974edaa195bdb726ea7d21,15055,59.5
sg:a3915f4cc7dd4d0aae8417ec2d4f0108,168524,29.0
sg:36d25dd7ed904e76aeab33d6eddd1cf4,23662,19.0
sg:484de496d3c94becbf22280fc7e6737e,31589,11.0
sg:b0bfd1b14e5c42b9a623da6f7731995c,5704,20.0
sg:78786b3f0071462dbbea7f0cf558e353,17536,18.0
sg:0336aa041181463e9b8b72f30df8e25f,2071,18.0
sg:29397038cff74799831d9c165c9633ec,18641,20.0
sg:2ad05ce73b7c4694958ed85efea1fae0,9595,10.5
sg:e4c2f95c16b349b3b10e2e8c3dd9ad1c,32215,23.0
sg:88787e4101d24ec0bcca47c6df4aa5d1,22323,25.0
sg:5e2fc98abe0545eeb7475cca543c9c58,4830,20.5
sg:1a110d9391dd42fe9533b1a6431df468,9894,15.0
sg:685adb4580b54f358aecb38829534296,31198,25.0
sg:38be4143d3184531b57cbd90e307c75f,3101,19.0
sg:ae1ef12c577d4224be26615bf26167ab,13715,14.0
sg:4ab90745d7a74857bda6cc775c4635c7,19887,20.0
sg:79c64456270e48d78daba9cefe758742,29207,62.0
sg:7fdb8101a5fe4f259721e504b03ff037,2740,15.5
sg:d761f04e1e4f40e991e81dbe05969be6,25832,21.0
sg:5f986e4db2284f3f95bccdb73a2cd8f2,1739,28.0
sg:49ce5fc1546749faa6aeb08f64ba7ebe,2628,11.0
sg:686228b589cf42298a085963c23f64d7,33095,37.0
sg:f87608726f454878a6f5c9f6fe81c59c,26483,181.0
sg:37fbf4f1435b48eb84f3ff00c8a77e43,15439,11.0
sg:48c7d053deae45ecbf831346da9bb002,18483,23.5
sg:f7d973fc4ba34713b241c4c780129b1f,16000,21.0
sg:9137a03b7f1f43faac7bffee702e3f53,1927,11.0
sg:4c16e834d52c44e8a2dbfa817b39ed3d,16822,18.0
sg:343141c92ad542d79d6df8e9db8e77cc,6478,52.0
sg:615b21599e0b4cbea0385e6f3091a8af,15700,15.0
sg:771552ec3fd744a3bebc948792a21927,1934,10.0
sg:17e3ba83d73b4f319d8cd025d4c7fcab,9503,12.0
sg:00b84dd359a04ac9a41991658f755a3f,10038,18.0
sg:5e8fe6db81f5482fb217f5cca0553d68,9448,15.0
sg:e229d875025a4185b21e50795e078f86,1863,17.5
sg:2c47f68fa6074395a3ea7ae5b40f929f,9384,26.0
sg:3d59953787f24e3cbd4ab61e9007ab1e,16923,23.0
sg:fcc357c830d54ec480e67d4428719c57,54936,19.5
sg:327b0b6594fe483aaeda653cafde56f5,6957,71.0
sg:5829e05367cf4aa1805ac12002cbdfb2,1349,18.0
sg:b4f3590eafe74688ab723464b8bd9241,29786,21.0
sg:e90780c9beb645b49a6dc91ebf4be8c2,75367,43.0
sg:5562724636524fc2a39dfed48189ebe0,6507,86.0
sg:14ef590ab43c430f94f6623e81ebf752,7971,271.0
sg:1cbac0c5c5a143c4a44a1cf322ce5c5f,132324,25.0
sg:9cadf82147f44683ab61a5769c6bcfe6,13042,12.5
sg:ddce8da017014caea3f14f065f56635c,12688,13.0
sg:1c92ec5741344fe99c88ad9375e29a5b,16625,19.0
sg:ec04a6bada434ab3be180719cff17d27,102337,109.0
sg:15b82d646c254abc8572591e9f56af7e,3344,11.5
sg:c049b5398d234389bc56ff5eea9b81df,385787,71.0
sg:b0e4801d1b4040b293fe639a2ab11459,11678,13.0
sg:85fef1459c0a48309832a46f1f1dbacd,23139,20.0
sg:b21bb1210e6447f0ab1880b7849cbb00,15199,14.0
sg:2dd8e106c244496495d97027ff2acb34,2372,908.5
sg:4c942e77fa6342cf8ac6cc3c08c6e68d,3573,13.0
sg:71323848214d439f960265f159d481d1,40196,22.5
sg:1da828e7658c4f3ea2664bde15642c6c,18537,21.0
sg:6995941f90a94fc9961fc3dcd91d150f,40267,26.0
sg:40a29ea9aec34778b06af6b494ee1c1e,164609,30.0
sg:c6f8c0e50826414998f8903e49274458,2384,48.0
sg:4a08ec84fd1d4a998903d7daf1cd2510,3164,17.0
sg:65c76e426ad740f7b93647a3623bcffe,105766,44.0
sg:cbe88d2f896e41b382a5d8ee85ddfe52,10060,21.0
sg:bf23ec2216e74175a6baa8fcc4ff3918,143927,21.0
sg:c570a84b41b04b9ab5ecf3810d18dd16,50494,34.0
sg:20d033ca8fe44c31a02d7325ce069bd3,119062,29.0
sg:b1063d2ad6ea41d49495821773af9675,34275,20.0
sg:31b77a8661f541a29c337cdb172bbd53,27060,23.0
sg:2720807800624ee0b549f295acdd3347,10202,17.0
sg:f3083f48bd054cda9ed222ae972f9920,157736,30.0
sg:596a4af01df24b76b41d95db911487d7,36362,21.0
sg:314b003789454c299f854d2e58fc1168,6543,24.0
sg:6a8d3633b56d4d66bdc29dbc2859cb08,153049,25.0
sg:365dccde1ab6465985542d2e78a2bc27,18064,18.5
sg:e48bef456670452eaed12c2a2730ddb7,37494,42.0
sg:3b2f7161718546a48553d61c2bb26a62,15124,20.0
sg:4d88b2c6200e4d93895fc0e85e3f5e2f,10032,46.5
sg:c5f5ccf298434a93b240beb43381fb38,16246,20.0
sg:e67c0a8f918e4795888601242e8439a4,10267,11.0
sg:0fb0ca4cde7c4ef4b905340d1faeacfb,151676,30.0
sg:7db984e3d66e403d8f3953e85e1c9d51,28792,17.0
sg:7e9679e94a3d452b80912aa340c3bec1,3428,14.0
sg:5edf8d1b38454eab861ae36b634928ab,44717,194.0
sg:d81fd29413e1472a80b6cedd9235a135,40736,39.0
sg:08963961a96840e4ad6a8a4f9affa470,82826,25.5
sg:1a74871cba7a4247b0c5d2d07ee82c9e,5757,11.0
sg:b088429a160243389154c76ffbe5285b,13272,18.0
sg:6c47607b9f9346d7b920afe5bf39a819,3807,25.0
sg:dd2ee3d6c4464e02a201898f8068e4ba,18106,38.0
sg:a846b99a813d4651a563a103d16a77bc,6799,20.0
sg:793593bbb9624ad4bd16722dd97e97e0,5574,16.0
sg:19535629a1ed40fe8b62227f33430b63,23534,21.0
sg:699b64a00e4b4a9d9ea74c399a257aed,60817,45.0
sg:a97ba7c548c84694981fdbd9783f1901,7736,18.0
sg:4368a63087104bcbaf7aaee122aec357,4808,8.5
sg:3033e70ea7234784ac3f89cf18a8ee1f,56602,42.0
sg:872b230127dc44a0877446bcab06c123,19923,13.0
sg:6802b9b1d12d4afc908bac50ee8a9f8b,3483,15.0
sg:a972cd775bb5461580b668ef39ccaf06,2291,40.0
sg:a953ea32a4d646d89409546db2ec4a22,151954,30.0
sg:50ee4c5f80c44891adc36dec6d6e4318,8139,20.0
sg:5558f919f68a412db320377261c482b3,7429,12.5
sg:2b04d789ac98427ca1d0c96bb8af9e08,6833,16.5
sg:6e073cf182b946eba69856b8477352ae,19557,21.0
sg:c965a82dff824efbb22368a4339f781f,1773,32.0
sg:da0100c63ea743fbb13d4d8d41688101,4852,16.0
sg:07704d7c722e43fc865a6e1fe40a59bc,127710,16.0
sg:e7710d554d0349a78300a464f3c68744,132794,22.0
sg:ad03e462e4814ade88972d80c5e5923d,39396,12.0
sg:e50b491ab17343fa96095e2b578b0880,127534,27.0
sg:f3c82c9bb32645ae8ec55ca172a43a9d,22768,17.0
sg:3621938c53f84d6aabe5f9c6caa58ad8,50168,50.0
sg:d00a2ebf0ab446b48261c622d7475173,4097,18.0
sg:05f6d1dbe05e4ed3a0d8baf7920e190b,1326,9.5
sg:e289c2fc7fd340ecbadaa2673bf3fb33,10617,19.5
sg:8d11f27667754fefb3ae6b3407c94217,1178,81.0
sg:8f2d386f50624826b128b2be0b49fe0e,121271,25.0
sg:7ff9414d5ea04aae93d088ad4f174ac3,1604,19.0
sg:19b58952c2da442eb52dd08f402a47c1,7945,20.5
sg:952c292633864778aa49f5c5014f36b1,29303,45.5
sg:9d7ea2752af64c888c23075a1abb1a62,1508,13.0
sg:54b988b1d9774f7fbd0606fad8e1bdff,130435,27.0
sg:2c29fd4677b8418e901735eea867f9d2,6982,19.0
sg:d2b8e11cfe1d40ca87a462a87d61ccc0,11333,13.0
sg:a4fcb3056bb24911954370b49e525fe8,28165,39.5
sg:b80912c1ba4947e08c36a4ab89dd7b0a,7139,24.0
sg:b0ce676e3f4143d0839146c648850cca,26044,20.0
sg:41a916131b93493cb72263b6498f9188,4248,14.0
sg:61e64bf8f947466dbc8564f49de67f7c,1848,35.5
sg:38e58fab27f34568bb5346311e7e56df,2269,21.0
sg:c7d91e72914a43efb258f7422d69dcc1,53337,15.0
sg:38d933306fb14c44936b8470adc1c0e2,2412,39.5
sg:a28ec3dea64144b587ddc8ffc43314b3,10057,49.0
sg:99722265efa24fda9a04f4ed8d21e285,21877,41.0
sg:fc9f4dea769c4e559078df025691999b,10502,18.0
sg:94ae59975d0e42cdb77a272c12eb6e9c,9566,88.0
sg:611314ae08ef4f84af5fbfd92310d223,17567,8.5
sg:bb9943bdf9694411a6219483f34d1ceb,16240,20.0
sg:e545b146f0074eadbb5b380e939b5842,4909,59.5
sg:0daf326f586a4083ac492fe4c2784df4,22763,21.0
sg:cc9ac4d426044cf39116311a5baae52e,2118,35.0
sg:f58016664a244925b0b7416eb048b6d3,7352,48.5
