id,feet,median
sg:c6d26a3a7dd24ce2a15fc2a2452d58af,13995,11.0
sg:58acd0758c764cb8bce59951237a766d,16374,42.0
sg:65838b6cad704ff3b5b6255568f25eee,9908,18.5
sg:3ec37d561660465492c41246ef7a4125,211375,22.0
sg:3837bb1c8dc745c1aa65a4822ed0c017,566091,22.0
sg:d5fd2a6bf5df45c2b2dfe2ca76f2809e,55973,22.5
sg:f616c75d552343aa91cc132e0210424d,9651,9.0
sg:387db7a82281419db7bc4a816a8afdcc,7783,19.0
sg:cd8d4b84f74d4375892ffdbd7b964dcb,5668,10.5
sg:44465efaf8af4633845da95e799bf80b,8468,13.0
sg:19504cd50b34478b86c2ccf54b482c2f,42194,16.0
sg:069c971eaa7341e490571eaee363a8b8,10122,11.0
sg:cf392bface414fb2a01eeb06b0b0d781,10122,10.0
sg:00739b7c507b41bd9cbce192442c0799,9264,9.5
sg:3e46821fa92c4d24ae47fe4a7cd946e7,7996,16.0
sg:289e3fbe9ce24d12875cff1467360600,213234,23.0
sg:3f88c9a7890b4383a155e3fdf5b0cd15,8078,14.0
sg:e509516e4d2f485d81931c727fd471bb,12577,11.0
sg:460f91d2f14040318fb8b101eb1de092,131387,21.0
sg:030fd002aaf24527a3ddcc770ba5b8ee,8439,10.0
sg:c72ee29bf8bf4b66bcc4cef9c50166dc,9536,12.0
sg:070f2fbbd7e14902b309986e53b50f17,10248,10.0
sg:b716d5423f0c4517994d754d85d0cf54,451483,22.0
sg:ec2c45190720479da703cb09f326608c,9111,11.0
sg:7e1226185ce2488191a36bf8920930d8,62513,19.0
sg:74dd38131f6e4133a184e41f646714b2,134404,23.0
sg:27e9afbec5864bfc9a9d00c67e52a278,9648,10.0
sg:76be13c6c0e5451c8d5b23ca3d5f9298,9262,21.0
sg:3f5f38b79ce7415bb83bbd11e2e37a26,8566,10.0
sg:b75a58b1bc76485ab41b105a0b3e0f3c,9600,14.5
sg:e7bdeb6706c240b6825c3096f2196ae5,8873,20.0
sg:78287e10ca4e44ada89b48f98dd94e97,9182,10.0
sg:d8e19ee9f9894eafa1406387704ea07e,9427,10.0
sg:5e7bc7d5eeb24ce1bc31e5b1b5558c00,9291,10.0
sg:5a2c3590f3ec4d5da555cb3efa7c98b2,9572,10.0
sg:a275b8662bdb4a398386a11c6ffaa819,3905,15.5
sg:071f743fb54c4cdb8c5251cf0e5a8bde,10799,13.5
sg:298b10c29944460b86a2b99f8cc3a713,9265,10.0
sg:08a8e8b47c1b4d13a24f89164985ce4f,12024,11.0
sg:dc6831fe25194c0eb5c5d5d272ebf898,17016,27.5
sg:21d52127ada94db19f1238e40b08dd2d,18400,12.0
sg:2c1065f91e1c4f2593a546eea07b2c54,121050,45.0
sg:0b09fc6356a0479389b0878b9e95dba7,5241,65.5
sg:6cca503007cc4cf387d5cd2e88711049,14454,14.0
sg:4e820945d52e4974834336b3fcc329bc,12162,12.0
sg:1bdbede677fd4c718b82741f7b6c217b,8326,13.0
sg:d63b3e67d03f4d9bbcde0a3ca11b9d5f,8479,11.0
sg:c92c2b170c684e7ca8a0122949a6d238,66243,17.0
sg:9ec7ca61634748af8f5d6c557304ba58,8231,10.0
sg:1bc260e4b00640ffba240bc60545a1d9,144160,21.0
sg:2a4d729ee46e481cb2d60dffc99fc94c,9078,9.5
sg:b6cc83f903e545f6af81cb9c2b522d43,11391,12.0
sg:dc8d939aa3c7442bacc7663d68ecdf4c,8684,21.0
sg:46c5d551be784dac83a037d90e6df8ad,9354,11.0
sg:d081c833675641379c0d16db3119a1d1,3670,33.0
