id,feet,median
sg:841d1325143c4a7ea2da91fa8703fc70,39846,49.5
sg:8930f11c38c34e21af8fa873f7753c44,28666,55.5
sg:44378128f8a546f4a5dfb8ac92ce392a,65780,124.0
sg:bc1c59dc59444450934d5855da14b0be,22580,76.0
sg:b945dc63aa7e481f97bb537ce9c200f2,1697863,48.0
sg:33e76cd3a9834875bfcd4054e576d04d,12796,33.0
sg:9ee997df67fd4986a79434f78765150a,68132,42.5
sg:58715778fbc34d508328baa71b690263,110867,27.0
sg:7ad5d0af4a2343bfb24dc139e446fed4,6268,50.0
sg:1e69646cf4f343d8817245f7206739d7,44493,30.0
sg:9e95d8bb5b154a6e859287f20de4bf8a,412010,20.5
sg:6eda5ed46e3b4d1faba6b9bf0984e8bc,8985,50.5
sg:67c4e4afd1c446c3a33b5287ebd44b41,17915,66.0
sg:1cd70c10e4184793af18b0a8a35c8740,178749,37.0
sg:db66660ea3e54f6ead68a151431625fe,9245,79.0
sg:cd0b4ff18445484a8c94ef64190d1163,7097,49.5
sg:3428f883ba7f4315832a2274c05026ea,195511,42.0
sg:1cd3edb045b3444a9e5f15a3ab9ea4c2,502887,29.0
sg:3466474c81354110a861683b03f89a83,63293,29.0
sg:6619825957404d84b922b2c78d15a834,28511,74.75
sg:3f74373aaa674f4a9619c5fe047138df,226465,82.0
sg:fb317d3666d8408b98cc6e188bb0a2d6,112259,73.0
sg:00f782b3025040c08740ae15d6b08b15,645022,79.5
sg:092ddd7581504e51bb75b4795a4a3abb,7835,127.0
sg:1461c6f9c6464373bb28088bc8496950,30074,200.0
sg:c38c066f7c644a61b8a80d15205646e5,292351,21.5
sg:564b12102ef84d5bb03b8cd881b5477e,56397,36.0
sg:9d1943f3d5e6462abbeccb9983efd57a,27503,47.5
sg:b7bdca6f9b694314944c1a26b6e6229c,60621,62.5
sg:ddb5c563b439461da21862327482e103,24528,26.0
sg:e7e79e614ce7428bbdf5739063fb97cd,121207,20.0
sg:56662365239543b28ddf490ae34b2acc,767308,83.0
sg:6b4c7c11003144cf89888e15747503fc,74315,24.0
sg:63c17e96219f46a494924bd98603a75d,199809,39.5
sg:3f0e3b89c689490f9020f9fbd78295a6,160290,46.0
sg:05192573b78848e989b0b1241fb6b60a,75519,37.5
sg:2e45e4ba04574d2e95af0de41a39c062,140453,21.0
sg:01e9db0841ce4384b1c88f4871f6b112,14834,59.0
sg:8bb32dc0728b41a987d080b660df9b26,227690,13.0
sg:6b141c216f0d4aa3b566b5d739cdcb54,23631,91.0
sg:5b1ff1c3b70b42f18f9f298efdda66ff,52541,117.0
sg:cd254978b09540b6a13261350e0ea1b2,16270,81.0
sg:a5fc3d626a7048ddbce1129a310da5e6,29360,59.0
sg:c38e00f39d2b4ed6b94ab0ddbc94b502,94028,26.0
sg:741c6f0618b54ce9afb9d84ee5737c5f,233017,65.5
sg:e23e5f57ed524e578a04f742d5150aa3,18432,61.0
sg:42af82330b524bd3817dd00c75661ee4,371880,31.0
sg:9a99a95b3dd74b9794406b56617d8e60,213308,15.0
sg:90f76fa8d0a0476e8dabc04188266740,206945,20.0
sg:e6d6ec11e703496e86b136ad56cbc372,510597,46.0
sg:5f3273f63dc247f3adc956602c756d7e,85541,66.5
sg:cdad1db761bd49e28cb6bd397393a1a8,1129387,19.5
sg:363a82adf5e949a1ba5b1ed9efb013b0,105817,42.5
sg:af3248a1fad146bc892ba9b7e61f808c,142113,19.0
sg:ea6664dfb5964c2e8dc378768b5cd6cc,12121,34.0
sg:df21c95f0f064543b36241fe1cd7e9f6,45834,35.0
sg:b36e20cdcde0453ea9b67a68887dcd95,39410,66.0
sg:c6cfc740e7654f56931f513ab4efd5be,40892,67.5
sg:6d796bea12f94f868c141009b5a57b79,78453,21.0
sg:054d96fec4ca48f6a6d9d38e4a5f20e2,313464,19.0
sg:69b5f942e07f49cba4434bcb553141c7,413133,88.5
sg:29779040e69c46dfa11518587e4fb6fa,146426,43.0
sg:1cfbb9f5a2634745b44d8e613d2fab48,2278,295.0
sg:48cdcdd07dae41a9ac84d09daf27f9f6,33058,71.0
sg:fc0502b4d88447aca9ac286aaa00de63,473919,30.5
sg:67c6bc7e4ab549fb93accab05c187be0,21388,29.0
sg:e93745f783ed4dcb816351790f32b1d7,21646,144.0
sg:4751f42aea2d49efb8a138de96f8d429,91819,59.0
sg:58dd9dec5ca94e138cd8553481a34190,274232,99.5
sg:922ed87ca85f419db640fb66712b5406,41306,35.0
sg:f6088b8bea3b4f9986a54120c3551bb4,206035,91.0
sg:58b65a6567144f73917ae48419c1629b,32643,76.0
sg:296b70a617844cd28079e4626dcad588,167847,38.0
sg:20d2e235385c4f62bcd5b4841a535a3a,10133,97.0
sg:023337605ab04014a1a9ec11067f7393,212412,105.0
sg:8b28cd2a4b314bfbbebbd4fbb7be0a2f,35772,33.5
sg:189b59cc70434c8fac238d170dfc01c3,41040,136.0
sg:af98211f19434ad6b9b2400277146dea,486258,41.0
sg:a7d01e52bbf341fd8e0cbc9f90b0994e,48945,91.0
sg:e7518fb1e0294d0684c4dad463adcb41,254820,26.0
sg:fd3f5cd2f18441469947af02414a90ba,34636,28.0
sg:087253d7928b48b498885b501af6e13c,85002,60.0
