id,feet,median
sg:93544c516c82477cae98cbab7e777f5f,9110,10.5
sg:32749eba4dc94b3fbfa7ab8a10ddf664,14136,46.5
sg:00526271e3a540d3b739a78389c5ad0b,58574,13.0
sg:d5fc0b9c9bdd4a1da3850d339700361b,7924,26.0
sg:54a567c474cd4e5c8948209a143fd46c,7938,10.0
sg:dffc54826edc430bb796310f58f9e834,226488,22.0
sg:14133b56753c40f8b0d3d02526554167,9477,12.0
sg:41c6edc436b54b0ba15569efdd5f51ff,8220,19.0
sg:0d5b8f4f88fd4f099e47cd7faba8c89e,9503,19.0
sg:ee49db268821454490e40c2f54b52b0c,148499,25.0
sg:6d5fb84e4ebe4e29b51f8d5ae2b785e4,10507,16.0
sg:f018aa06f1a14f71ac09bbf00dc1d28e,7478,10.0
sg:f8af5a693e5143a6986aa0237a12a779,6424,19.0
sg:ff176e5375ed475caa5b227a56be041d,3150,7.0
sg:a1fc79da3f5e4324abf86f377e7d601a,9414,9.0
sg:1e43b542b7fa4398b7cce40169675d95,7342,20.0
sg:ebfc00b6408649c5b4052e52f9a4f6c9,22587,10.0
sg:d1f086cb89c44311a6b6fdb471bd7f25,180281,22.0
sg:42f1334bcb8c49d184ce41f3f94fb887,12453,10.0
sg:ad6325fca0184139a5c3711ea87b709d,8899,10.0
sg:92a078c53a09469d8e3fe42a09608fd9,24172,19.0
sg:af53a8c9af9042168b27493b71de8952,21973,20.0
sg:44c82137cfcb4711a33db446cb01ebac,1373,22.0
sg:391dcca976df43d2bb8bd6947ebd21dc,19428,9.0
sg:e0e8d02d780f4de28e6c7e110a53c0e5,8656,10.0
sg:e9d8a643ae1e4d068775968587bd04ff,1540,39.0
sg:fffd1a2de1cf4ecf8a374a81b2631189,4301,93.5
sg:500c45a179eb48239822fd616ecf2715,18841,20.0
sg:675437e663d8434fb541dfde8b704021,8734,10.0
sg:915c20245d124c48842c24a14cafc1df,8771,12.0
sg:82a02623b6dd45a091ad16eb5c82f498,11266,14.0
sg:989591c514ea4e6a8c47e35bbb347d5e,9401,10.0
sg:2feb4569fecd4aa0b4d6db4745271899,36097,21.0
sg:20e2837b1ecc41a1a7f4bc8d12a5e78a,63164,19.5
sg:dcfc92e61a1a455ba04b1acc30638ca6,17817,13.5
sg:e650f87c9ad34c1cbc80391cc4908ad8,9577,13.0
sg:1c7100d57f1a406bbe9e0e654ddc459e,2758,230.0
sg:fd128ba0b014497b97c2e1d00acf03bc,8723,10.5
sg:1013b7c7e34b4095a9ecd7ca552c2196,8949,10.0
sg:80ac8c35d19f415481fe7cdd8d8161da,11281,11.0
sg:b8aa12132f91456da3ee7fd0d718e0a5,3210,14.0
sg:29a42ec92f334f9fb4633e4b9c0a5d0f,32640,16.0
sg:97f8fad582d149c992e139acd4f21da4,10499,22.0
sg:d99a7db6214442bd8883d24ef5cfcb0e,7184,16.0
sg:b2494014243f4752b9c176f119c4ce59,9165,12.0
sg:6ed3e6abd4db4fd9a3c370b7c60751c2,8119,10.0
sg:96837340d5d14dc58437656ef42c23ea,45800,21.0
sg:1f501faeef0142c2b11d7a204e84ed51,10287,11.5
sg:4b96a9bd6d06481eb8057c52af5d0385,9627,10.0
sg:dfbc40e1697d4575b5e77c17f78265a2,2257,10.0
sg:d9cb52641d454c319c955f59d7360b1d,9494,10.0
sg:ace3460d76be464980425abbc0511afb,8585,16.5
sg:110576858bc04cf1aa9d9cbb9fc1ec1b,9138,10.0
sg:f0fd72da62a94f96bf9163f9a3d0dcc2,15074,11.0
sg:fe8779ad30f94f5cab6fe225469c34aa,104532,21.5
sg:d13906209ee740ceb0640895fd544357,142649,20.0
sg:461e5729615b4383b8a5960a9fc1de6d,1965,154.5
sg:39f01d85019845efa7fdfd8a557c9425,30455,13.0
sg:52a1dd5bba3a401398814edac87986be,9030,10.0
sg:b65f79768dac43a3a2c56226ab4f6dee,65355,20.0
sg:3d6875d690b3462dbeac61983db1f15c,33532,131.5
sg:ab9f2b992e5245c6bc74debe9a9922bd,23770,15.0
sg:4911cb7e92574e94ab95b85630464bcf,9428,15.0
sg:33d4721330384ccfa883014c710f1734,7206,8.0
sg:57bd026d4c3440ea8344406ecff06392,8650,48.0
sg:77edaac3bc4b4c1992b0da8031fcbbf1,10407,15.0
sg:5a469afefd474685ac0e1672b4563b07,8740,8.0
sg:d1eac402a32a402595400b26db04a7e6,664027,23.0
sg:16f6c49e09e2442f956a2c13c7aa48da,9563,10.0
sg:9fe962332e784ee8a9c855a0bfcf4459,9658,11.0
sg:ce9f58631be44343b1b1d31970beb0a6,1062,10.0
sg:4319c217d8874155bf16e67f856e8ff2,7949,17.0
sg:8b0180af624c4d809ff4234cf05ce321,10900,15.0
sg:652aa4cbc8604545a9978515b2d4c59e,9481,14.0
sg:8180d0539eab4bebb44c447e10304add,63213,13.0
sg:a36a2801b8b74980a675b62adee6926c,3047,25.0
sg:4606e60f497e4655a70fac819c4dd285,11401,9.0
sg:ae203535dd954e1f9304c80fac95376a,13449,12.0
sg:1442eb8cd0b14198a1d1a49ada869811,9134,11.0
sg:5efac6d7a7674ea5b7786dc23d30dfaf,62693,21.0
sg:71137f6b7fde446cb5c7fdf02de3cafe,3662,10.0
sg:0559ebdd609a4a56911e473a800be4d9,100972,17.0
sg:261e5fe7b3b0420e957bdd4ae729122b,12035,12.0
sg:5222ddb1ae3c444d9e5b1e155fc5e19e,33279,20.0
sg:7beaa1f2f4594a1292a0cd69f7fb143d,1616,11.0
sg:614d9361976d4f65bff2104393dfae61,30284,12.0
sg:8e263259e17142dd827ae9ba1717e386,10414,13.0
sg:6473d6ccbb414c9587c810743a44b4c4,3974,19.5
sg:beebd33d52594528a27d28587618a237,9168,13.0
sg:ec59ff146dea465089e1d56fc44b4e4e,10479,10.0
sg:379d8651d27b49989696f4bb136ad917,159479,25.0
sg:38ae7d52324241d19c9a02e43339dff0,9112,10.0
sg:f45d917bea854bdba872705a87dfeebb,13287,15.5
sg:8ca669d23df646ab837f154a69d3ec42,15477,24.0
sg:391ccbddb614491bb3c2f8c1717500fb,11191,17.0
sg:78dbd9bee7244eae87638133c56bb223,2435,24.0
sg:c0c1355ab0844573a58e5e6e210640dd,9786,11.0
sg:b2927bbf63884af5b867c0029c59c04f,411219,23.0
sg:a9fe7e5930a24d4aa8b5e41c6dd6b7ba,13588,18.0
sg:433b999647b5439cbb9f1924f2c0477f,7208,13.0
sg:7f03fd8a8e144b44845c2b97051df679,37702,13.75
sg:cae6a86e5fab408eb97de84df502240d,29340,20.0
sg:611f67d2650d4450825b1cc3d6d4e6cf,19729,20.0
sg:12016b134bda4db89fa3e0735e2b90e7,11229,14.0
sg:a9d873a450184322bc4defa3af284911,25862,16.5
sg:f87adf70c3d94fb5b1414bb5c3a41afc,12265,32.5
sg:e9a88ef29c174f699877e73187cbcb08,9955,10.0
sg:4386a5422f9b4e8b92d43168447b34db,2148,10.0
sg:ea8432c67da44e8693dde3e040c95720,9480,16.5
sg:9be25c642bcf4cd2a83e93f2aa3b27fa,67439,30.0
sg:6950c5543a934ec88589b8d0aa6fa8d3,24536,21.0
sg:a435ee89880e4ce5abc26b7ac5e69e02,24352,20.0
sg:be2fe0f9625842afb4edf9e97da578e5,134319,22.0
sg:e8424a6e32734711b34117a197abe8b6,9817,10.0
sg:892bf5d4698e47428b68d8ecd04f793f,7274,17.0
sg:372db44362df4e189ffe659150c06930,9019,10.0
sg:ae86db6d609148e9b8cc3b34d7447e9b,11071,19.0
sg:38a21cc5ee724e7abdf0c8040ec65a61,8485,10.0
sg:90c783f748344ea6b586057dfefcaa84,7826,12.0
sg:dd5665cb7c7d49338e7502d65b6c7a3b,184629,21.0
sg:dd426d53fee84212a3a142a201e5d6e7,15659,11.0
sg:daf21b2982154b84b43a1383ab9a7967,12036,99.0
sg:b6b1b32a23304ccaa4948ce85eba83f9,9424,12.0
sg:1b65f43c37bd4dd88cdf5d81d849cfb2,13094,14.0
sg:38e97a2868c6422a9429d10280b3fd50,3915,10.0
sg:31d0b99aded845a6a61513f02a504c80,8342,7.0
