id,feet,median
sg:1235e8b6534f42949e9fe6b0613b573f,8316,10.0
sg:fd631ee260b74cc6b2c8166da24a0623,6806,11.0
sg:b4e0b4cc5fdb4debb77767c9a36cb9ba,2772,38.5
sg:41800f3b67634d4a9378ba53282d3d5e,38407,41.5
sg:9e66bca6c677486db5766b3006423841,4076,39.0
sg:50f67b9bdd9a4ae69a669c0196368f24,26398,104.0
sg:47cec91829d44c35aa0025ae572e2fa1,27000,32.0
sg:c76557011a2b478bae266e8fec5d4946,3083,22.0
sg:8925188b8b7348afb59dcd29f7c1d777,6172,14.0
sg:d374ce5623de450ab73d04280b91e404,4902,12.0
sg:72ec14da2370446f8a6fceadb5b2f252,7790,21.0
sg:26a4c7b92eea4336ab9e01214dd2a1a2,134724,23.0
sg:e411acb545874aa296895980c34425af,9434,18.0
sg:182178c612774a17a13ce0d9f3aa908d,191509,24.0
sg:cec3bd8740074a88aa4913e2f20fa111,14711,24.0
sg:556f28ec9ef94fb2ad7c2e5f8128fd4f,9333,13.0
sg:973bf5541d144a688d49a9996cbffcad,8508,18.0
sg:7b5b8232450249ffb21d698da11d9bf6,22059,30.0
sg:ec8fe72d3f384aebba124ce579f2722b,4244,13.0
sg:7073f164e3dd476d88a4a6f42c6ccd2c,9113,20.0
sg:cf76cf7e43054f6882f7ed40c717a74c,19422,54.0
sg:cf0f0f23550c45fdbb86b55ee83ad2e0,10148,37.5
sg:ca9aee79483a49ccb1bba63428ac099e,9624,19.5
sg:51bef0ed82164533b697728ec8dac2fc,9344,20.0
sg:cf59a7b2f0bf492394979fe7cf2f6f1a,8931,19.0
sg:848aa54c36b84e57b162a2506d9c36c7,11398,20.0
sg:ed72095d0d864f8880fa410b9d2f1359,18435,23.0
sg:a7f4d3280401404ab8b814366f0a7f01,8941,19.0
sg:24cf624c608b4f3b94519d3f60fbc1ee,227905,23.0
sg:798e9868de52477cba6bdc5422a723fb,5463,33.0
sg:2b9389b3b5324dad9ce25a74320d555c,49419,22.0
sg:6b95972bed8c4764b3343ebd745ca7e4,35305,26.0
sg:f902323416d14dd99672cd6b0b75415a,24704,17.0
sg:d053dcca04af412ba2611ccd70cd8cdb,9523,13.0
sg:f90dea4b4e614a73a2ee42053d7a116c,12010,57.0
sg:9e3e1475b1f640ec8825372e07411bfe,57596,93.0
sg:dda5d5f5389e4aad8f77a607b96ab121,17007,18.0
sg:2acde8a2255c414ea52b974845c3e7cb,13305,26.0
sg:76545870d73d49199d03e451e86c3842,20584,18.0
sg:43c3aa66ee28460aa9f6f87f30609bd0,5028,202.0
sg:f4676048717a418b91d498fc4d072e85,13673,15.5
sg:121f764992c1402fab6194a4795f8506,311056,85.0
sg:73c280aac73a40e393e4aef721b28bd7,50586,70.0
sg:a30461a9c96b474d8526cefd971534a8,20271,49.0
sg:b524997b4b85405aa837752dcf3531c8,18093,39.0
sg:04d71d37d4e14b1fb71de6e89ad46766,131299,22.0
sg:faf33b06442946bb9010e587925ab912,9170,17.0
sg:30a6973a90dd495090db685a4094b02c,12916,15.0
sg:5a0a9c3507cf40a7a30ab0f09953db54,10643,11.0
sg:cbae2660206840df885468524b95e1cb,8557,13.0
sg:eb0014fae99c4c5aa94eee7731f8a5b5,8075,14.0
sg:fb4baed65aab42149e43d1cacfa282a2,10534,19.5
sg:3d26999c72b74cf0822641f02a9e8736,16950,18.0
sg:11dc956e18e446a1a4e1d16c79228e81,10300,21.0
sg:06b52eafd083401083848acf213bb792,10308,20.0
sg:cf7ea1c542aa41029b9dddd34905d086,23870,144.5
sg:427f45e95ad94fe6abea61beaa8df33b,12097,15.0
sg:8cd48ce41ad6464ab546ede9b7854ad6,5906,20.5
sg:ef59b4a7c7f74415960ceb7e76dae70a,21059,21.0
sg:4ecf0d845d4f4b18850d1003eb04704c,6935,31.0
sg:5c04c15fc571469289ee59353dc70960,7627,12.0
sg:7f8e1f73765748019820d209adfd56c1,64658,21.0
sg:eea75431726443c9915dab8610f7d0e6,5609,14.0
sg:87bc35ac6d0745ce854ea4f9efc74841,13539,14.0
sg:57e566025ab444fe900b675147e51273,29605,13.0
sg:01d125310225431e8237654d3c58d599,6028,23.5
