id,feet,median
sg:e15753dcfc4a4320bc77490664c649ce,30530,13.75
sg:2777705bcbf44a04a7b12436bb14b627,11402,10.0
sg:9bc4c246845d4e1db3d6104343f01add,130440,21.0
sg:779b35c87a8e442890bb5d72a32bfd3c,1102,32.0
sg:e9390a65cc3b4a6a87641cb83b429ae8,13283,12.0
sg:f4adc05b9aae4582b96d36c90c72dc13,14454,17.0
sg:72f6ecca5c584ee1abd4e79a45089dd9,10842,11.5
sg:650d3b5f14e34e458db50caa2e01944a,8256,10.0
sg:f6a356006bb6439c9de43aea75ce9494,153892,21.0
sg:e00a1cde72b146fcb0a5d64517bfd39a,1470,13.0
sg:430b89667e184efabf817313928fae4f,12142,17.0
sg:77247f3689e644ed808310486ea12a9c,13305,152.0
sg:601f9d8e292f4bb98bbe6453bb3005b8,5886,16.0
sg:132aba42d2e74a45bf317cc8fd45ba74,8702,13.0
sg:cdf9a4a510154eeeb37f1b0036228375,6067,13.0
sg:603d0921b22b45e09071fbcda1bbd4c5,14244,9.0
sg:affa9d4656ba4a688843452f7db4256d,1365,146.0
sg:44ce5e19627d4890bdb27d5c30fac45b,13368,12.0
sg:52db1b9a91624a448b90f0b56f766e4c,16084,11.0
sg:de94d46699044deb86485d832655ccb5,15980,13.0
sg:d870b945afc7437eb55210e3b99e2939,13300,11.0
sg:6d94493f11e0453d908430e3ad5de30c,11104,13.0
sg:9a6ea9826f024b2d81645135bc7b2f47,12543,13.0
sg:ac745255e2b9415a94de9653b055652b,7290,15.0
sg:362d85896e54460280b96895123e2d1e,2541,13.0
sg:939512bfda1f4d0e80ceb500cc59cbbf,9695,50.0
sg:0e417465f96f43ac868811796ee07095,42684,21.5
sg:698f0f3eb58c4d91ba12bdf08763a888,9144,10.0
sg:3ac0a291eac74cc79494746893fe06e5,6017,51.0
sg:0b4e56eb555d464f81c9667499afe216,11975,12.0
sg:2b6df4f45c2a4eb7a77d93019a8aec88,3260,11.0
sg:82351ff791c44db09dea5d3e945fd582,2277,42.0
sg:93a12cc972c74ffe97ed55e1e2ea7ee6,8639,13.0
sg:3de53162bbdb4a94830c6337ffe137f6,5942,39.0
sg:7db07d85642f4794ba8bc8ddccf47c1f,11969,14.0
sg:3f486fbb2c794cbb9e3d2ebdbe8f445f,11076,13.0
sg:120f3fdf627b49a39ff7558a4528cc1c,9188,25.5
sg:f2c3dd3c4f1c4d60a485c0c9a7e70365,160681,24.0
sg:3c21ca6d518d4588a24dd12cdb2c2786,7391,14.0
sg:c0daef71339a4f94833abceb56dc5ab5,15572,13.0
sg:9d0173d948bf4a9f870ce8d87463e04a,9744,10.0
sg:f8e587692f2f43cfb7fa821d1be02123,15325,14.0
sg:855b4b2686c3407f93d278fa545a7c0f,17741,58.0
sg:5990ecfbd7574338887500ac16accb64,9241,16.5
sg:ad12f2cd8a6c46c58b98056da539a9b8,15151,20.0
sg:21befa6cee054531a1cc4870e2ad3db9,15436,69.5
sg:fa6bc1bda3994d6893e71cf32857e072,291270,21.0
sg:4d6d7f0e5e19494c886b8b1b20c594a0,24964,16.0
sg:4c06155ac7f941a7afedb768d34e8782,3946,23.5
sg:b617658bda7a4a368b5985da67736a03,9376,29.5
sg:9b4aeeba2c024d208c36a059d4bb724f,49988,39.5
sg:a2902f000e7a467e9b39bebf6cacd143,2973,27.0
sg:d8f5558b17b343bea4b962c28a4a3e4a,11855,24.0
sg:c6e263f6e2e748f78cd22a566f4081a2,14481,18.0
sg:817f5cfbed6249e8898f06afdd754ac7,4528,12.0
sg:7c189786679044c8997973a024d9b9f7,5022,18.5
sg:18090d349f394ac795db99c4f0705634,16327,14.0
sg:1b6a1dbdcb954416bf54b01e98058a3e,29384,17.0
sg:9e0f095751764a5291aca6175a59065f,7621,13.0
sg:e055e3f3aac146b28a271d98b4a2d091,12335,52.0
sg:197576eec9524314a0f431d73cf2d5d4,230083,24.0
sg:25719f7112604db9948cae0c299d34b3,10003,12.0
sg:dfe4cd9a807349d5bc2c563de78ef990,14843,38.5
sg:e189905efacd42d9a2a9ce7d6adbbb88,11383,14.0
sg:8623a4d75d80401ab17ec709c6413832,29632,20.0
sg:4cd5e9a493ac4d44a48b2374b9c84588,26457,16.0
sg:0b53ed0f47fc40bdbf9b8e74537cdfc8,19936,10.0
sg:ef328fb783124945b9ad8d8568a58397,23933,61.0
sg:6faf6d9f29a64b9fb986b4570a1ae470,9786,14.0
sg:e31684c0bef34078b17d9ba3001f5d07,38168,20.0
sg:18c7c57aebc64c3d9e202bcebb799d06,10822,40.0
sg:50fa102277f84affa4363565580c1193,13305,19.5
sg:003db7ba3f334c85803cdc3b315d0361,10686,11.0
sg:eb3dfbda0829467a85b8077ce8992957,9485,12.0
sg:37b2e9738a9c436ca098f5b3d70d345a,11151,11.0
sg:dc38829ceda54c1ab7b899e91f440687,10398,12.0
sg:a3292c31e9a34d5ebe9546b6d7714500,22702,10.5
sg:fa9c0ff81116452e98d9e39bd3e786ee,3101,21.0
sg:a8fe4d6fd4f2408e88ba8e220936fa9e,24682,20.0
sg:6874b45c503144ce9be4db0a71cf5cda,10526,16.0
sg:198571593f8f4730990d3d8f5a60ca42,127550,21.0
sg:2b908a3bca8543bba043cea9d7c3d106,32751,13.5
sg:58dc9d868ee944d59a68bc4a900f4aae,9076,20.0
sg:f5e8cda7276f4523be626172ccc4d12c,10408,12.0
sg:4f2d493caf244e51b5cbdb5e8334e18f,153845,21.0
sg:48b286d6026b4415b4f7e4ba1f792dea,14086,20.5
sg:d3db9920177e48d78d260c4f127be453,22314,40.0
sg:9bcebe69c780453bbe10429fbd445352,12660,15.0
sg:3ba196299c3649e58a8631e7128d1ad2,2398,20.0
sg:9d7a1086cebf4f609b937e958f12a0ff,5789,13.5
sg:5917692575214f67aaa33527078c6eea,9782,10.0
sg:2074492d2d77478098f94ad1b89a2889,9388,10.0
sg:6e7f9bc5d07c4404844926ebde563093,7851,10.0
sg:e3b0ba8539264015a1c00d51eb010514,491018,22.0
sg:7e37f0576c8248b69aae6f3d5df28d89,9080,12.5
sg:de8285ff7fc3449f8c7f12dbf104edeb,113636,47.0
sg:4f6964c1c6a24e4bae7bbdd74811118b,5133,20.0
sg:cbf935c5969045afa89a5b2311c0874f,10357,20.0
sg:e7be894038734606b530195d1df5e7c0,4744,79.5
sg:c0d35c5e08cc4970b88b2d9e829d455a,11907,14.5
sg:84fd8da900ea4b648ad377b2142257b9,10059,10.0
sg:1a114094b4ae4203a5128986c0c39da4,8310,14.0
sg:0fb9d161582e491aaea14bf66a777e7d,11530,10.0
sg:a2717067eb644007ba1faa7c9bbcefad,13974,19.0
sg:7052bf32c25c470a84844361c192165b,13409,12.0
sg:bf15cccb85ac40fbb73fa4e39bcb9e95,15386,28.0
sg:1ce7e26333e2472e902e0f561dda41aa,18555,13.0
