id,feet,median
sg:da1d3219d1cf425e9961f9ccbb753d55,8360,18.0
sg:523b6a22fc0c46328b3391e4987a34a0,21302,22.0
sg:86eb5084d0ab49e4abd46c44f44a56b4,8681,11.0
sg:4b38ec1c99994c73b126a567825f7191,9993,18.5
sg:075ae85277a5428fb428c02bdf393aa0,404543,26.0
sg:eeef49843bff411bb1242f7f092d26ec,4716,11.0
sg:5c90f951d8de4b688e64f8e34b2b89c9,1643,122.0
sg:ad8cca168594435a889aee5e4ad569a4,3295,38.0
sg:50b2aa112c4c45678b9362a1e80c9912,5616,15.0
sg:a8223389054e4bb6bb96d7d5b96948a4,20086,28.0
sg:73fe3590aa53477b8791a1ea0d95ca46,121902,23.0
sg:c13567338807446591994cb5b846eaa0,6976,13.5
sg:3da09710f2784f4499e2fb31eb5f5e8d,7715,12.0
sg:0429c9819b4a4fcba44ab717e5cc97cf,5919,11.0
sg:be03d3fe83624080963c07336fb7f87f,6733,10.0
sg:9b4e0ab2ff2447699a029ec0f34ffadb,8573,23.0
sg:95fb52a6009a448da218cc798f76bd55,12478,15.0
sg:f6746679ca95410bb4ba5286878efc69,13196,15.0
sg:b446a3f7c242412a9014ff789008ecd2,136337,23.0
sg:31944d2af13f40b08f313923b7f0c831,37245,10.0
sg:4256d34a19494358a477406825fae59f,14859,16.5
sg:7d5bc82a60234d5697f1e25bf31a3d5a,7534,16.0
sg:36dc3fb000fd4328ae42ec0ab1ed8737,19186,480.5
sg:b0586fbe564943b28e66fc259874f195,53494,160.0
sg:2e004ba26d3144a7873619dc3cf08a57,28235,84.0
sg:25c18cf3c5ba40cf88dab6c6f7395f09,4116,38.0
sg:01bfb736b66f4af895fc700dad202393,11757,18.5
sg:4edefcff7c804864b6e41c285d7eb26e,2369,7.5
sg:db7046ae68474aca987596b5e0cbe138,123083,17.0
sg:95cc83f471fa456180e228d0cddb7976,213116,25.0
sg:6c8bb38a50034c4c9eeaff352b167935,44418,19.0
