id,feet,median
sg:515033ed97a54995ac5ca532246999fd,9433,10.0
sg:17adb9092c1d49c6b9c3a3dcf55530a3,11371,16.0
sg:2987bd22f8e742a182629425077e4193,9237,10.0
sg:028a8846ce3b4ffb84269ed9c0576db1,9212,18.5
sg:52b2be293fd4420ab0acd49752a1af8b,6779,10.0
sg:457e0f0f58aa47c2810cf3008a1b47c3,123175,21.0
sg:83742864b7084fa7b985048ad1e7cde9,11027,10.0
sg:e06c14a6c8e04bd2b2084ae25bcc271e,147225,22.0
sg:f1fc11b2af294408a81979e7543d5a03,9008,12.0
sg:24302b589a77479389e40a09767ba602,237392,21.0
sg:b3b5f5ab2e9a47fb89a9eea666e39892,9854,14.0
sg:da7af2656ddc45a6a49d40706033d666,13305,75.0
sg:9ecdd6bbe70a422b92da83b45ef8b856,10503,11.0
sg:18bc8f797c8947a397309fe663c0193b,3190,11.0
sg:91009e05bd6e44f49d4db4a033d7a0b6,33765,26.0
sg:9ec59dc3c21b4bb492e3d2b1d8db3bd1,11678,19.0
sg:11edacc11cdb4adbb4b9640abdb02227,8766,10.0
sg:e023bd4b3e6140d09958bcb0da297397,13305,52.5
sg:173a9c0688764648a8634febde252266,55159,12.0
sg:2f22bc67c67e4cc1920018e4a66dc936,40026,22.0
sg:4b907c5267e847d7a954d469905ca38c,10029,13.0
sg:2ab0a17b3b8c4ba8a1b4b48e797db820,38200,17.0
sg:0494bd0d56764457b304c6b075038475,1180,81.0
sg:431d0afaca1a4798b80d9c15088236d7,497266,23.0
sg:42765d7d94604c93811fa7d0753b3857,11415,59.0
sg:37e6b57a2eb143509da43746c38976b9,3331,19.0
sg:ecefb94b049d43b09278acfeebf41991,7517,20.5
sg:216113011de04c8baa5efd66edee9dc5,145312,23.0
sg:ab973460170140349ac519d5597d2d98,138462,20.0
sg:7feb435064844623a0d96ed14428f913,6411,16.0
sg:9c661ef4fddd40b49150adaaf8fa3a40,29422,20.0
sg:818f2c5e0ddf47c68a6539a78c3e72f9,63526,18.0
sg:30a11066f0e74abb972f445e61cbc084,21991,31.0
sg:c2b9a9e79a224a06be67e66e539a1cd6,7133,10.0
sg:59838d8b5f664a84b52e812ffc27cd3d,105641,13.0
sg:7f3bbd14e1e74532917e5059fe336c3e,14494,13.0
sg:91e10531315f4abe8c26049390cc54eb,185330,21.0
sg:fa906f818fc54d15b691ad2bdaf10c8b,2615,10.0
sg:d0554c16c39d4fce8919df710a6c566a,10300,11.0
sg:da5d464fe2c34f54b75ae34bc7374982,8968,12.0
sg:ed133bd6c0df46a1bd5ce67f279ce9d8,2394,20.0
sg:284bd0a2f9ec40fb8116d1937cbcf7c7,9240,28.5
sg:2dd74a49c1ec49a6a6ce961544e0c137,8802,10.0
sg:ac1a76b04353442481c6cdd3e3413b74,6972,12.0
sg:a29743ee534346318b4f50d6f62ed959,5039,13.0
sg:3420427bcb2f4b668ae4b90f93ebb553,6727,11.0
sg:dc3b306178fa4c89a935391b0c9a276d,6466,12.0
sg:ee065e10cdbb42f78a767f0bedcd8c93,4406,44.0
sg:e1f2748a972e4e5ba6ac84a31eec564c,161043,22.0
sg:d5cb542749684f658e53220e6c9fcb03,8811,11.0
sg:4556b93a664843ed89a06b4fa3dd464c,8111,11.0
sg:cf80d7b4e0f845b1a6ae5a1b2466eb6d,9527,11.0
sg:90543c2c5de4445e937eb2580c3fda62,32355,20.0
sg:4e48c3664b6e424a9d63422029737d7f,4974,10.5
sg:f4cf77887318449db65e6962e1856814,97055,66.5
sg:c578af49347c402cb9fa84fd8f7e1611,36947,11.0
sg:21f486ac61644c8a8310079e5850a965,10862,13.0
sg:62ce7f37a2924fc6b671b9f5a0195585,10707,9.0
sg:b196cbff633e4cfdbd60d344571281ea,9535,10.0
sg:f22674453c44473e92a2c4b1db75daf8,15044,19.0
sg:32930de0067e489dbd84c7568ab21e32,6829,73.0
sg:89a6c79dcc014789bcb34ccf777657c4,1862,63.0
sg:195b33a082fa440aa2a79336931dc321,10706,9.0
sg:bfb473a7ade444599f1d3764aaeef328,43127,190.0
sg:8a682711cf824ca5ab3ebba531442ef3,12992,16.0
sg:94eb0f1649fe4f89affad50de89744af,4437,16.5
sg:aefffea2f4174dc1a64aaefaf4284eea,194857,21.0
sg:321e36c29f3a4a64820b9fb421b15b8e,10029,11.0
sg:32b719fc54d844ec9ac70f3f97a8e55b,200489,22.0
sg:4cdc735839a64f1c83bbb85920d4cdc0,34570,64.0
sg:8c7b28f3632a4e748ff721434136bf21,151476,22.0
sg:19954c6ea7574540b9716a43a3e1f863,18255,11.0
sg:63fa3add029445ae8bb38923c27b2c27,14449,12.0
sg:f5179cccb10640c1bcc84d72b944d9fd,36191,12.0
sg:79048edf54564e18920f05a8e6ba4ba4,9017,10.0
sg:cda9db630f9c434d9b4966b267137542,9074,9.5
sg:493b88073c5c4e7680bdccded57b2d30,8100,11.0
sg:3616dd61c40841c9984da4da27bd2455,5326,12.0
sg:a1e7c32f679b4c878e7043dc87051285,220870,23.0
sg:b874ee69b62c40b09ad4f4a173cf2414,13157,10.0
sg:00799ab9ed40498ea50371c489e5784b,34372,22.0
sg:df07e4f7ff3c441d815ed93bd137afbe,2456,120.0
sg:21222e9d18c643ef89c0f03257ad104c,131302,22.0
sg:6ac9f66ecd2943879e02c5ea4c1572db,4086,30.0
sg:499bc784d3244a55bb0a5d98a3e72e1a,9199,11.5
sg:97d4286f0cf74a7bad511106f2bbf0f2,8671,11.0
sg:a1ac765931b54039aedd13c441cf5468,2499,9.0
sg:ebad281727ed48398ad5a0789f18826e,12688,14.0
sg:68a642aa07a74c86afee1bb4297be640,94993,17.0
sg:23ab707a831c428ab5f0177bca92d1d6,21167,18.0
sg:cd4744f78fee49adbe473db3359a8f35,7380,15.0
sg:526f310efdcc433ebf0529abbff5b3b5,9279,13.0
sg:612548a54f46416482ddf8dd33dcddf3,2516,11.5
sg:3e9d96467890481a94742f852c7ef9e3,8315,10.0
sg:248b2dd8e666408793a3aa073d4a11e7,15811,22.0
sg:0c009df01724444eb91d39fadd7309f3,34414,15.5
sg:a3c1ef78214f4fb3ab7e227717aece8d,11485,12.0
sg:fdd35e4b126244aca09b20815686ff0e,25270,17.0
sg:856a56cbd121483488145a8ff39b3def,7844,9.0
sg:87af525c3cf249739cb9499b358d9383,3365,34.0
